i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,i_19,i_20,i_21,i_22,i_23,i_24,i_25,i_26,i_27,i_28,i_29,i_30,i_31,i_32,i_33,i_34,i_35,i_36,i_37,i_38,i_39,i_40,i_41,i_42,i_43,i_44,i_45,i_46,i_47,i_48,i_49,i_50,i_51,i_52,i_53,i_54,i_55,i_56,i_57,i_58,i_59,i_60,i_61,i_62,i_63,i_64,i_65,i_66,i_67,i_68,i_69,i_70,i_71,i_72,i_73,i_74,i_75,i_76,i_77,i_78,i_79,i_80,i_81,i_82,i_83,
j_0,0.325374,0.906432,2.442144,4.083865,5.432864,6.539886,7.150551,7.580972,8.202471,8.662881,9.314676,10.616507,11.961212,13.307011,15.638386,18.192706,20.720025,23.259860,25.726346,28.101886,30.460267,32.860404,35.274950,37.752538,40.460837,42.923461,44.747788,46.491129,48.147953,49.961361,52.314396,54.831038,57.299057,59.827338,62.269787,64.732336,67.288140,69.761801,72.035472,73.956503,75.210678,75.944446,76.775471,77.529380,79.012663,80.838463,82.363276,83.632323,85.297694,87.451492,89.860131,92.370921,94.813156,97.315014,99.741425,102.133235,104.551885,107.054776,109.265817,111.575113,113.818602,116.224923,118.733233,121.270032,123.973250,126.634385,129.172415,131.754268,134.423558,137.035684,139.563759,142.123806,144.731987,147.241194,149.801160,152.459254,155.051375,157.629855,160.055343,162.485787,165.027640,166.671001,168.220393,169.258972
j_1,1.195519,2.014836,3.744023,5.634918,7.036517,7.974708,8.175813,8.305900,9.184258,9.580119,10.336163,11.654342,13.021339,14.460779,16.778755,19.222428,21.593019,23.951052,26.241038,28.443559,30.623572,32.828464,35.055078,37.367339,39.870811,42.095757,43.865546,45.580199,47.255194,48.929288,51.017457,53.224337,55.371441,57.580488,59.706533,61.831765,64.047775,66.200399,68.168291,69.895872,71.356646,72.443324,73.565581,74.569637,75.672620,76.966027,78.228600,79.490236,81.096023,83.005635,85.132548,87.364321,89.537153,91.781533,93.953321,96.099727,98.300612,100.607408,102.630143,104.743374,106.822937,108.975800,111.186566,113.361172,115.654329,117.881350,119.972667,122.098353,124.305718,126.435509,128.480006,130.551845,132.668873,134.685543,136.748628,138.881548,140.970942,143.060468,145.024206,146.976140,149.083212,150.397543,151.559149,152.422059
j_2,2.794244,3.767075,5.505354,7.435185,8.765814,9.604205,9.772222,9.732258,10.863235,11.187976,11.815264,13.120245,14.558173,15.795198,17.610058,19.395051,21.055330,22.707775,24.311971,25.865821,27.392994,28.908601,30.434097,32.004703,33.644254,34.957248,36.123628,37.398576,38.655406,39.618719,40.811776,42.040277,43.249047,44.519267,45.711888,46.872269,48.132227,49.347188,50.441218,51.603159,53.058312,54.407339,55.838327,57.227408,58.106317,58.793882,59.493516,60.457247,61.415569,62.433113,63.612909,64.882719,66.117130,67.428622,68.680801,69.900937,71.186933,72.591346,73.793907,75.062596,76.310589,77.542685,78.814119,80.026899,81.342602,82.605336,83.764589,84.967443,86.246598,87.466687,88.634851,89.829552,91.061959,92.229730,93.451571,94.768082,96.111177,97.526245,99.001353,100.410041,102.127946,103.529388,104.667021,105.886130
j_3,5.224192,6.365685,7.952860,10.050033,11.329685,12.137087,12.220176,12.029323,13.373742,13.641571,14.123231,14.970104,16.534654,17.712088,19.576502,21.121377,22.549037,24.081663,25.628612,27.192373,28.721499,30.207525,31.745344,33.341130,34.868008,36.369832,37.917857,39.425637,40.670967,41.192696,42.198183,43.023015,44.175781,45.371974,46.550434,47.697739,48.864730,50.114663,51.545766,53.408716,55.375567,56.604961,58.106707,59.466003,59.571076,59.979537,60.974253,62.100669,63.030298,63.858057,65.028697,66.226827,67.438209,68.735238,69.984088,71.227365,72.574655,74.056691,75.409783,76.631889,77.813843,78.839842,80.029964,81.068645,82.108066,83.157703,84.262466,85.373218,86.572828,87.724395,88.878356,90.054946,91.202553,92.413169,93.627210,94.928995,96.307423,97.838286,99.635532,101.411618,103.608621,105.649472,106.455815,107.965806
j_4,7.627053,8.946043,10.453575,12.733687,13.869874,14.608051,14.638992,14.257707,15.853149,16.064006,16.426670,16.978454,18.640029,19.742128,21.779901,23.128836,24.377372,25.867192,27.402270,28.948027,30.449568,31.893638,33.456946,35.105754,36.592522,37.923876,39.721198,41.397099,42.651319,42.752247,43.642956,44.279843,45.433817,46.668749,47.814974,48.896931,50.112029,51.429604,52.810478,54.533530,56.826806,58.798564,60.373023,61.679720,60.844218,60.842209,62.167729,63.751410,64.610817,65.263998,66.440685,67.639318,68.851308,70.178162,71.407764,72.643413,74.060114,75.630132,76.932548,78.144645,79.333427,80.194294,81.309830,82.187615,83.176223,84.146429,85.170157,86.223899,87.342890,88.408146,89.477787,90.551814,91.620670,92.706043,93.811791,94.995148,96.313245,97.767710,99.447110,101.054244,103.022569,105.008646,106.725829,108.683428
j_5,10.018986,11.514597,12.926498,15.391411,16.425190,17.110920,17.050251,16.497251,18.326983,18.480955,18.713240,18.858093,20.623766,21.679573,23.794505,25.046350,26.123750,27.567727,29.099447,30.628383,32.105569,33.509132,35.114054,36.833864,38.307400,39.532669,41.376879,43.425274,44.694576,44.365610,45.119220,45.537693,46.684548,47.954504,49.074998,50.111461,51.372454,52.732425,54.198919,56.029715,58.354274,60.556603,62.645001,63.908725,62.185083,61.861536,63.278661,64.929840,66.238963,66.756700,67.936949,69.111269,70.302983,71.641270,72.837244,74.075454,75.563641,77.170389,78.573029,79.761356,80.915013,81.587841,82.633970,83.368144,84.313181,85.256315,86.294895,87.369237,88.587114,89.578510,90.642336,91.729331,92.783624,93.903819,95.025631,96.289899,97.682424,99.214251,100.970705,102.689746,104.800986,106.848039,108.468719,110.472182
j_6,12.339823,14.002660,15.273632,17.801867,18.876232,19.519186,19.382334,18.659810,20.722776,20.822267,20.918916,20.653042,22.503839,23.509903,25.483522,26.834579,27.742632,29.144726,30.669817,32.179412,33.631544,35.001460,36.537745,38.145961,39.756840,41.020118,42.738869,44.678955,46.605387,45.863893,46.476352,46.691589,47.831955,49.021049,50.183825,51.236020,52.414338,53.681391,55.058488,56.801475,59.020158,61.126743,63.298903,65.434475,63.570188,62.912218,64.280395,65.856800,67.411961,68.153857,69.330414,70.481628,71.643152,72.999311,74.159849,75.403394,76.798410,78.311865,79.904163,81.325617,82.423005,82.895050,83.865133,84.460863,85.371267,86.305735,87.349854,88.424124,89.598290,90.670485,91.718304,92.808102,93.859767,94.970064,96.098879,97.307972,98.593396,100.024225,101.678796,103.304708,105.340376,107.293524,108.930317,110.842088
j_7,14.675538,16.506847,17.644443,20.177379,21.358972,21.944380,21.715464,20.846955,23.159610,23.180354,23.146132,22.413369,24.271988,25.330356,27.235250,28.542599,29.266139,30.617429,32.058279,33.487983,34.891715,36.250727,37.648940,39.118914,40.614796,42.027177,43.712002,45.635965,47.558979,47.349510,47.821375,47.817375,48.926286,50.085841,51.222705,52.315131,53.492713,54.772200,56.187219,57.983822,60.192919,62.289980,64.436556,66.553883,64.995950,64.033394,65.404839,66.923617,68.455856,69.542655,70.708896,71.843816,72.969281,74.310028,75.448778,76.681305,78.008782,79.423704,80.954411,82.439627,83.835303,84.123194,85.070162,85.555475,86.425791,87.326005,88.351008,89.413313,90.568599,91.646804,92.728069,93.822603,94.910149,96.056056,97.248921,98.548711,99.920481,101.452265,103.209637,104.933148,107.069974,109.082480,110.650743,112.616994
j_8,16.959255,18.962051,19.963114,22.432078,23.778934,24.304843,23.984473,22.986821,25.381091,25.495835,25.320829,24.142676,25.961772,27.110984,28.962585,30.214016,30.757032,32.060093,33.443884,34.831613,36.193171,37.504157,38.849282,40.262486,41.693532,43.010397,44.620394,46.477612,48.340670,48.782935,49.147023,48.909955,49.944069,51.045163,52.123658,53.162173,54.311068,55.563287,56.956720,58.726249,60.852718,62.883750,64.947030,66.981233,66.420408,65.149820,66.429174,67.846545,69.297139,70.626256,71.949902,73.153973,74.249399,75.541576,76.682395,77.843190,79.083583,80.406348,81.837685,83.230431,84.553755,85.266681,86.224633,86.635524,87.497005,88.371580,89.380778,90.463410,91.624059,92.703851,93.786677,94.881230,95.975513,97.124717,98.327998,99.642698,101.034057,102.587463,104.356093,106.086547,108.222334,110.212535,111.928607,113.858407
j_9,19.279997,21.445253,22.242040,24.669278,26.179477,26.670368,26.273811,25.177355,27.596603,27.847671,27.504098,25.863257,27.668216,28.873688,30.611245,31.778338,32.146288,33.389767,34.647158,35.928171,37.182106,38.367328,39.581057,40.866128,42.152439,43.386270,44.969712,46.809964,48.662417,50.058898,50.384503,49.898268,50.747711,51.704723,52.647427,53.550285,54.550024,55.682714,57.027363,58.788097,60.899970,62.940475,65.019295,67.074071,67.935842,66.365656,67.622510,69.009512,70.413365,71.683294,72.931904,74.144054,75.324107,76.499665,77.604121,78.690117,79.852908,81.117834,82.508554,83.847117,85.116234,86.162231,87.222078,87.631749,88.536554,89.374812,90.324452,91.363859,92.521185,93.575199,94.617500,95.677456,96.730734,97.854088,99.017206,100.313219,101.680725,103.207508,104.965130,106.706760,108.854244,110.877231,112.609275,114.563245
