i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,i_19,i_20,i_21,i_22,i_23,i_24,i_25,i_26,i_27,i_28,i_29,i_30,i_31,i_32,i_33,i_34,i_35,i_36,i_37,i_38,i_39,i_40,i_41,i_42,i_43,i_44,i_45,i_46,i_47,i_48,i_49,i_50,i_51,i_52,i_53,i_54,i_55,i_56,i_57,i_58,i_59,
j_0,0.878454,1.967738,3.388692,5.697620,7.954213,10.247663,12.445969,14.671461,16.842048,19.043341,21.276817,23.459556,25.349084,26.822605,27.956056,29.054721,29.964102,30.849996,32.122327,34.208697,36.398142,38.540793,40.669571,42.877795,45.143243,47.396926,49.633374,51.892675,54.107758,56.290360,58.419796,60.609304,62.917888,64.935997,66.839827,68.898412,70.891699,73.010656,75.131875,77.295199,79.476637,81.727051,84.041690,86.405744,88.682679,90.957168,93.159909,95.358095,97.478291,99.688686,101.784229,103.972890,106.123329,108.359971,110.518437,112.457558,114.321246,116.033106,117.206665,117.828048
j_1,1.531127,2.397711,3.763883,6.014169,8.202290,10.410049,12.543486,14.701279,16.793344,18.903938,21.071008,23.209974,25.073706,26.565789,27.723036,28.820673,29.650946,30.518360,31.739366,33.824182,35.981391,38.060201,40.109708,42.249697,44.441478,46.615272,48.770595,50.960876,53.115157,55.248041,57.327356,59.513844,61.858655,63.952670,65.943211,68.086526,70.166866,72.360388,74.535027,76.726585,78.922754,81.188492,83.520966,85.900805,88.195929,90.489339,92.717976,94.943860,97.095182,99.335682,101.468614,103.702734,105.902654,108.192908,110.428716,112.447304,114.386429,116.166276,117.464848,118.167018
j_2,3.512731,3.934863,4.520889,6.197539,7.618907,9.206431,10.736676,12.358110,13.925763,15.527778,17.091218,18.491543,19.708894,20.767845,21.828531,23.152224,24.387643,25.758605,26.985221,28.384754,29.947702,31.464578,33.059036,34.667751,36.348946,38.063003,39.763649,41.477475,43.149969,44.805000,46.435479,48.013015,49.657788,51.023635,52.384769,53.781322,55.214887,56.726522,58.269640,59.893193,61.535199,63.205540,64.943586,66.733479,68.472579,70.204651,71.888755,73.566517,75.190572,76.866933,78.471556,80.138641,81.765060,83.453332,85.086234,86.501538,87.743248,88.929519,90.373959,92.002000
j_3,5.688462,5.645240,5.568674,7.020549,8.208211,9.585951,10.901012,12.295881,13.651164,15.055555,16.410632,17.631142,18.778471,19.914795,21.123043,22.511760,23.893724,25.391741,26.666044,27.900768,29.278997,30.630752,32.061290,33.449363,34.896536,36.386367,37.868647,39.360249,40.811239,42.248417,43.667391,45.018595,46.438043,47.657741,48.892318,50.138342,51.403307,52.759023,54.145684,55.617621,57.130601,58.636954,60.205482,61.812485,63.372098,64.924861,66.436608,67.937679,69.394470,70.884161,72.312202,73.787200,75.219979,76.696813,78.140865,79.444146,80.666571,81.826777,83.496757,85.334522
j_4,7.800615,7.261610,6.489448,7.641157,8.589471,9.696035,10.714464,11.836804,12.978575,14.188586,15.417935,16.615212,17.836467,19.112708,20.448435,21.859451,23.280577,24.747012,25.971010,27.159401,28.465756,29.720953,31.015644,32.214939,33.448248,34.712628,35.972472,37.230163,38.447812,39.655874,40.861206,42.035829,43.285579,44.414236,45.564532,46.743926,47.914261,49.168343,50.412361,51.762534,53.181674,54.572966,56.038918,57.533639,58.988997,60.437145,61.848089,63.248432,64.616123,66.004694,67.343676,68.723346,70.063153,71.438102,72.790236,74.052159,75.368301,76.638061,78.457863,80.347943
j_5,10.052198,9.006596,7.458866,8.536520,9.340854,10.354337,11.295753,12.347030,13.431840,14.576243,15.732871,16.844083,18.008007,19.295238,20.686087,22.154987,23.660841,25.208750,26.458794,27.563217,28.801064,29.999237,31.245898,32.385062,33.547371,34.748346,35.942067,37.124637,38.277112,39.429387,40.596329,41.700512,42.864774,43.924909,45.035281,46.146924,47.269685,48.439528,49.617415,50.891652,52.225899,53.531916,54.912067,56.317069,57.691034,59.052060,60.383178,61.702171,62.995992,64.298584,65.567194,66.869040,68.142739,69.453058,70.768199,72.023960,73.344050,74.639226,76.545834,78.559198
j_6,12.728570,11.167811,8.773465,9.742893,10.312921,11.469151,12.401496,13.545396,14.678158,15.870342,16.975978,18.006177,19.305863,20.806390,22.371018,23.954034,25.550004,27.121446,28.036242,28.727160,30.021293,31.302142,32.632181,33.651581,34.831734,36.088370,37.276359,38.429364,39.555290,40.699017,41.882339,42.835898,43.959075,45.014800,46.202932,47.271522,48.447361,49.628911,50.830422,52.149066,53.530668,54.867605,56.265474,57.680057,59.086178,60.441023,61.756688,63.063737,64.349066,65.633629,66.898049,68.199564,69.456268,70.784480,72.119140,73.367656,74.763025,76.074912,78.231465,80.594629
j_7,15.424750,13.340548,10.066269,10.923731,11.290789,12.437784,13.482693,14.622654,15.796816,17.013939,18.115755,19.067848,20.309418,21.779391,23.454826,25.233744,27.112348,28.976942,29.547962,29.780469,30.965414,32.156108,33.435540,34.601501,35.787791,37.039450,38.279219,39.479191,40.652891,41.814792,43.019276,43.893896,44.938878,45.975478,47.126265,48.198069,49.340260,50.488510,51.657486,52.898687,54.180679,55.409177,56.705756,58.017407,59.328642,60.620014,61.894460,63.161046,64.425320,65.670535,66.914934,68.150325,69.380266,70.648025,71.946715,73.248198,74.658615,76.076795,78.170572,80.505751
j_8,18.142210,15.521127,11.381929,12.096521,12.217462,13.323527,14.382916,15.515268,16.687424,17.892933,19.022950,20.082353,21.332710,22.830142,24.527001,26.348123,28.269527,30.194000,31.111245,30.865926,32.055150,33.246227,34.520880,35.686893,36.873641,38.123495,39.364825,40.571916,41.753300,42.923278,44.104593,44.935021,45.999890,47.038096,48.221870,49.297946,50.462325,51.624954,52.798317,54.053559,55.359611,56.623530,57.952831,59.297223,60.638217,61.939309,63.202011,64.460951,65.720844,66.948123,68.195035,69.426086,70.649732,71.941758,73.274929,74.569886,75.966158,77.376547,79.518779,81.895083
j_9,20.894391,17.740149,12.744486,13.215188,13.147076,14.212297,15.234694,16.327978,17.476406,18.598382,19.629597,20.627488,21.862348,23.389590,25.135344,26.988026,28.968338,30.908488,32.463612,31.901815,33.015761,34.131902,35.319626,36.417811,37.535018,38.722699,39.895659,41.021904,42.123926,43.214345,44.280743,45.219353,46.188592,47.209234,48.388759,49.467931,50.611748,51.710365,52.786933,53.942529,55.160060,56.333739,57.577579,58.831617,60.097972,61.336370,62.567753,63.795454,65.034669,66.250214,67.491333,68.717556,69.944259,71.189090,72.484109,73.785631,75.180683,76.608462,78.776082,81.177748
