i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,i_19,i_20,i_21,i_22,i_23,i_24,i_25,i_26,i_27,i_28,i_29,i_30,i_31,i_32,i_33,i_34,i_35,i_36,i_37,i_38,i_39,i_40,i_41,i_42,i_43,i_44,i_45,i_46,i_47,i_48,i_49,i_50,i_51,i_52,i_53,i_54,i_55,i_56,i_57,i_58,i_59,
j_0,1.116711,2.426238,3.856696,6.093830,8.322528,10.544699,12.670325,14.780455,16.824894,18.841617,20.870144,22.905800,24.636745,26.014457,27.117656,28.064375,28.920435,29.662193,30.732456,32.655603,34.649909,36.595755,38.489053,40.490981,42.549801,44.600300,46.631844,48.686930,50.704323,52.696489,54.618222,56.652131,58.849419,60.776390,62.622380,64.590558,66.475238,68.436802,70.427319,72.397398,74.369501,76.410161,78.520112,80.663759,82.720994,84.767224,86.743159,88.722198,90.633426,92.639681,94.533984,96.520451,98.490148,100.547004,102.578258,104.412812,106.203902,107.830339,108.932369,109.659714
j_1,2.281101,3.763553,5.348803,7.772639,10.188957,12.620969,14.953967,17.075623,19.024865,21.024272,23.047732,25.033600,26.447417,27.448559,28.281601,29.022099,29.815965,30.391032,31.547083,33.574010,35.690259,37.769844,39.822757,41.994061,44.228956,46.453004,48.657545,50.883322,52.889818,54.862331,56.739624,58.859282,61.197177,62.861614,64.605529,66.709287,68.520195,70.586954,72.603388,74.539205,76.497130,78.589466,80.769524,82.946959,84.922735,86.968132,88.870823,90.845385,92.682830,94.782371,96.562739,98.639130,100.587210,102.744799,104.740622,106.400615,108.142128,109.605857,110.045193,110.389706
j_2,3.061344,4.183095,5.742811,8.047736,10.387878,12.678326,14.880385,17.065054,19.188227,21.320705,23.552476,25.841535,27.926178,29.251471,29.831178,30.321118,30.892794,31.380662,32.690376,34.900091,37.134707,39.267823,41.322026,43.469195,45.654929,47.803154,49.935845,52.101146,54.241184,56.366883,58.467520,60.737828,63.187696,65.138969,66.778810,69.037235,70.760808,72.926878,74.905926,76.807920,78.746664,80.896326,83.150170,85.360417,87.256895,89.302829,91.147340,93.123537,94.898289,97.085662,98.763597,100.941050,102.873730,105.127479,107.109250,108.602643,110.391671,111.707618,111.678310,111.477854
j_3,4.034064,5.375742,6.937451,9.318939,11.686991,14.039486,16.298979,18.542791,20.716395,22.872224,25.068048,27.262030,29.161029,30.732144,31.120536,31.396597,31.732375,32.176331,33.348950,35.437630,37.585051,39.675486,41.705447,43.843964,46.039998,48.213323,50.370686,52.553017,54.700453,56.828134,58.916389,61.129447,63.509599,65.649363,67.692698,69.866311,71.946695,74.102351,76.282724,78.432590,80.562019,82.753326,85.025854,87.330939,89.476239,91.516204,93.294963,95.271468,96.979135,99.157066,100.826045,102.992503,105.026338,107.271373,109.343810,110.645123,112.403997,113.576762,112.992259,112.372114
j_4,5.126457,6.455581,8.000638,10.329995,12.672039,15.006169,17.231110,19.440128,21.592469,23.728002,25.899899,28.092268,30.018978,31.603209,32.429346,32.539290,32.787103,32.992566,34.206754,36.295297,38.457165,40.547075,42.569697,44.693290,46.875178,49.035966,51.182717,53.342518,55.458129,57.557137,59.601175,61.780006,64.118005,66.196422,68.201907,70.330499,72.376716,74.504198,76.642033,78.771130,80.912369,83.103072,85.380404,87.687886,89.921465,92.148885,94.305121,96.462064,98.554227,100.740807,102.821096,104.986024,107.131718,109.357968,111.534536,112.638859,114.358892,115.402445,114.252720,113.268612
j_5,5.925787,7.102204,8.572094,10.827335,13.113115,15.378518,17.547607,19.705356,21.813812,23.925818,26.116833,28.337194,30.299542,31.948386,33.299713,33.625567,33.727794,33.777920,34.978388,37.101179,39.291817,41.407278,43.459335,45.586975,47.755873,49.890699,52.015088,54.163766,56.276436,58.380870,60.444109,62.639232,64.994876,67.125895,69.158113,71.341054,73.430292,75.616928,77.799071,79.971452,82.157800,84.384867,86.694469,89.031352,91.291054,93.551057,95.745217,97.935813,100.059195,102.268797,104.372495,106.568814,108.741814,110.996245,113.222019,114.696087,116.427163,117.332058,115.727807,114.234719
j_6,7.080621,8.350525,9.599034,11.690212,13.737470,15.807229,17.788115,19.780301,21.708446,23.605593,25.505349,27.334486,28.809897,29.894038,30.690969,31.440636,32.207578,32.804221,33.698776,35.419148,37.256306,39.062957,40.856058,42.774165,44.762721,46.739784,48.700194,50.674598,52.605403,54.513320,56.330338,58.184656,60.171616,61.838694,63.413990,65.121544,66.767058,68.487811,70.237757,71.998659,73.771388,75.629977,77.566441,79.545808,81.443348,83.332098,85.149867,86.962896,88.694452,90.522662,92.243052,94.058710,95.852416,97.730243,99.567875,101.170483,102.653973,104.023160,104.918253,105.576285
j_7,8.391544,9.736194,10.839972,12.864915,14.879520,16.901045,18.806104,20.680069,22.482486,24.248154,26.003784,27.758427,29.230516,30.399555,31.375892,32.168266,32.915730,33.205469,34.000919,35.628402,37.330802,38.992089,40.603018,42.320561,44.110791,45.893752,47.662736,49.442850,51.174695,52.881541,54.529343,56.281962,58.198480,59.860505,61.453252,63.145096,64.745495,66.416836,68.131306,69.813683,71.494462,73.218067,75.036811,76.882463,78.648564,80.404580,82.087442,83.773598,85.394415,87.114188,88.715684,90.406513,92.085408,93.850650,95.606085,97.159364,98.691927,100.082353,101.024105,101.858408
j_8,9.756188,10.983517,11.737363,13.412897,15.102263,16.780648,18.336466,19.830303,21.245037,22.653197,24.083565,25.540869,26.860971,28.024844,29.100615,29.897351,30.653571,31.120835,31.676037,33.031366,34.414992,35.739399,37.002690,38.352174,39.758492,41.149816,42.520896,43.899143,45.235991,46.547381,47.855150,49.300490,50.931001,52.440351,53.869658,55.414228,56.863861,58.411969,59.945191,61.418599,62.862932,64.328637,65.896422,67.488320,69.003481,70.513528,71.957508,73.400384,74.782632,76.252514,77.610264,79.062452,80.510299,82.072362,83.656030,85.113633,86.684322,88.106305,89.345309,90.403233
j_9,12.135188,13.018070,12.914778,14.367947,15.725933,17.186658,18.561460,19.949565,21.284959,22.546296,23.614496,24.456459,25.189424,26.002701,27.110860,28.342753,29.817743,31.218325,32.269325,32.967623,33.878943,34.922781,36.099464,37.341621,38.662681,40.053400,41.418890,42.756984,44.055227,45.310259,46.457079,47.364690,48.246910,48.859699,49.548903,50.180282,50.862384,51.581911,52.357550,53.177725,54.026042,54.931921,55.881545,56.879506,57.829194,58.747584,59.606066,60.454494,61.258997,62.107666,62.912866,63.734564,64.543165,65.430617,66.301880,67.082986,67.885325,68.666832,70.045923,71.766246
