i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,i_13,i_14,i_15,i_16,i_17,i_18,i_19,i_20,i_21,i_22,i_23,i_24,i_25,i_26,i_27,i_28,i_29,i_30,i_31,i_32,i_33,i_34,i_35,i_36,i_37,i_38,i_39,i_40,i_41,i_42,i_43,i_44,i_45,i_46,i_47,i_48,i_49,i_50,i_51,i_52,i_53,i_54,i_55,i_56,i_57,i_58,i_59,
j_0,0.723813,1.825114,3.357486,5.740314,8.108140,10.470157,12.736601,15.003964,17.211483,19.437240,21.733028,24.034708,26.072533,27.753715,29.116227,30.315779,31.257358,32.121171,33.408927,35.621819,37.903851,40.098662,42.235036,44.462094,46.741433,48.990984,51.226043,53.486156,55.708598,57.912863,60.089529,62.399528,64.870013,67.093420,69.216332,71.487442,73.681648,75.976462,78.267501,80.555855,82.838888,85.178920,87.601286,90.061568,92.441353,94.819865,97.131674,99.442347,101.682714,104.016274,106.237943,108.558986,110.856906,113.246888,115.599379,117.747677,119.864885,121.843053,123.248142,124.139031
j_1,1.474925,2.515305,3.919734,6.212288,8.460843,10.720866,12.883164,15.031898,17.104908,19.213796,21.379820,23.539999,25.445386,26.996035,28.230130,29.318803,30.115232,30.868340,32.043318,34.124691,36.265688,38.317127,40.315593,42.405570,44.552355,46.670240,48.773850,50.905955,52.997796,55.066037,57.118860,59.306236,61.669097,63.795392,65.812443,67.978194,70.069850,72.278522,74.487268,76.684075,78.865016,81.099484,83.418647,85.776365,88.048941,90.321564,92.527136,94.731380,96.859329,99.081838,101.183701,103.389323,105.573294,107.858149,110.113557,112.159679,114.173274,116.027544,117.319801,118.130136
j_2,3.123399,3.595543,3.332850,4.397986,5.310719,6.284439,7.164477,8.111350,9.059901,10.089574,11.219142,12.425537,13.589219,14.716717,15.811206,16.963235,18.078875,19.191385,20.077577,21.259658,22.497491,23.573138,24.624773,25.669009,26.756327,27.826123,28.892877,29.984897,31.035146,32.060199,33.045820,34.135416,35.440894,36.583103,37.705872,38.925505,40.139370,41.438230,42.687472,43.979986,45.311248,46.665755,48.121740,49.609447,51.042446,52.468255,53.853346,55.244178,56.575517,57.958222,59.264922,60.649284,62.018854,63.459853,64.909482,66.154986,67.463814,68.679338,70.227313,71.788224
j_3,5.309264,5.192234,4.086609,4.659590,5.170028,5.710569,6.137350,6.658894,7.253952,7.985943,8.878985,9.943974,11.168079,12.567156,14.085849,15.608703,17.174748,18.743947,19.939348,20.996029,22.076645,22.966437,23.832217,24.583354,25.344083,26.087009,26.845610,27.619011,28.380169,29.141650,29.924711,30.780273,31.840840,32.895223,33.985137,35.111881,36.260140,37.458825,38.588883,39.734266,40.908608,42.070976,43.325754,44.592206,45.832108,47.065093,48.288849,49.519222,50.718211,51.927448,53.106341,54.333269,55.569073,56.854872,58.214980,59.480177,60.940771,62.367767,64.367651,66.468943
j_4,7.608062,6.893336,5.003209,5.134307,5.524657,5.947857,6.318779,6.820290,7.470731,8.261702,9.264054,10.470240,11.874375,13.514517,15.276184,16.998778,18.745949,20.504145,21.339019,22.219283,23.299795,24.016325,24.866763,25.433161,26.151448,26.866806,27.649763,28.449510,29.215521,30.001018,30.835480,31.763164,32.922014,34.157157,35.273423,36.436407,37.595017,38.829123,39.876280,41.035708,42.256133,43.363734,44.705090,45.968709,47.199259,48.432208,49.660284,50.896775,52.081505,53.274753,54.442816,55.705202,56.944142,58.262675,59.701425,60.924940,62.608989,64.016264,66.277658,68.585438
j_5,9.945353,8.648361,5.889457,5.644572,5.836493,6.243161,6.626941,7.032138,7.581891,8.280055,9.159072,10.221016,11.502707,13.069433,14.775831,16.449981,18.187351,19.900762,21.238663,22.342054,23.445519,24.379991,25.316438,26.065153,26.754603,27.414817,28.095468,28.793905,29.496189,30.234395,31.052980,31.929937,33.016406,34.229893,35.478554,36.753679,38.055143,39.381444,40.641755,41.885859,43.166957,44.377804,45.691353,46.993891,48.293753,49.591473,50.892926,52.198499,53.367998,54.537781,55.697457,56.982827,58.243842,59.593259,61.044068,62.346797,63.992683,65.591940,67.810467,70.105061
j_6,12.221125,10.343400,6.697197,6.228500,6.140362,6.605560,7.059383,7.524370,8.125473,8.885141,9.792541,10.803002,12.005036,13.476379,15.072836,16.664012,18.318676,19.951107,21.221903,22.286530,23.390115,24.345121,25.325171,26.138826,26.903097,27.648337,28.400537,29.160986,29.917641,30.707880,31.589362,32.490361,33.581693,34.757080,35.962108,37.202435,38.480603,39.791548,41.050764,42.309753,43.603308,44.835779,46.172255,47.506196,48.832176,50.154707,51.472778,52.788225,54.075021,55.341984,56.594321,57.881904,59.178075,60.536944,61.982493,63.393052,64.984886,66.526097,68.672179,70.886175
j_7,14.747015,12.269836,7.755442,6.820529,6.446219,6.889163,7.391949,7.921939,8.553131,9.283704,10.141110,11.151349,12.422925,14.036586,15.823977,17.624320,19.515280,21.403349,22.706637,23.399589,24.495880,25.284402,26.261679,26.934787,27.637515,28.384244,29.145490,29.925773,30.709659,31.539070,32.416372,33.314340,34.413751,35.660762,36.970255,38.279175,39.639462,41.007982,42.310672,43.597754,44.923914,46.094372,47.438805,48.771349,50.111332,51.447292,52.796258,54.139570,55.412925,56.643734,57.907975,59.215018,60.525559,61.912715,63.408515,64.875215,66.539313,68.155280,70.483137,72.925749
j_8,17.165702,14.088204,8.690329,7.521924,6.767538,7.312759,7.894197,8.513878,9.197480,10.023782,10.945724,11.933152,13.123814,14.600101,16.222809,17.894899,19.657763,21.430442,22.824098,23.905960,25.028262,26.014130,27.047929,27.823406,28.487081,29.234831,30.001948,30.796900,31.582282,32.441384,33.371193,34.250208,35.372284,36.557531,37.790433,39.038173,40.346114,41.687949,42.987617,44.290603,45.627519,46.921510,48.297706,49.674866,51.042398,52.403777,53.765333,55.122652,56.448402,57.750480,59.046204,60.370740,61.703892,63.091525,64.568396,66.010087,67.584223,69.109610,71.309404,73.616297
j_9,19.661194,16.029737,9.777597,8.043975,7.296563,7.649401,8.084998,8.432946,8.881611,9.376610,10.077655,11.058588,12.339463,13.967675,15.789383,17.540089,19.405423,21.228690,22.620065,23.668155,24.653047,25.447140,26.206929,26.789707,27.297337,27.779277,28.289140,28.821105,29.392697,30.029525,30.708218,31.501640,32.539485,33.779994,35.080477,36.382089,37.699394,39.020752,40.252230,41.411248,42.586887,43.696575,44.893186,46.065951,47.246169,48.421639,49.616216,50.817707,52.016370,53.185038,54.371746,55.579564,56.818892,58.099141,59.524386,60.966412,62.661866,64.321656,66.634329,69.043010
